"Production of concentrated milk products"
"Frequency: Monthly"
"Table: 32-10-0247-01 (formerly CANSIM 003-0029)"
"Release date: 2025-02-26"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,
"Commodity","August 2024","September 2024","October 2024","November 2024","December 2024"
,"Tonnes",,,,
"Skim milk powder","7,015","6,490","7,752","6,612","8,151"
"Powdered buttermilk","1,059","1,089","1,515","1,353","1,198"
"Whey powder","1,855","2,254","2,837","2,320","3,237"
"Other milk by-products 1","x","x","x","x","x"
"Sweetened concentrated skim milk","x","x","0","0","x"
"Concentrated skim milk","x","x","x","x","x"
"Other whole milk products 2","x","x","977","825","698"
"Concentrated whole milk","x","x","x","x","x"
"Concentrated partly skimmed milk 2% 3","x","x","x","x","x"

Symbol legend:
x, suppressed to meet the confidentiality requirements of the Statistics Act




Footnotes:
1,"Other milk by-products include sugar of milk (lactose), condensed buttermilk, special formula skim milk products, lactalbumin, concentrated liquid skim milk and casein."
2,"Other whole milk products includes malted milk, cream powder, formula milks, whole milk powder less than 26% fat, concentrated liquid milk and whole milk powder."
3,"Concentrated partly skimmed milk of 2% is published separately beginning January 1981."



"How to cite: Statistics Canada. Table 32-10-0247-01  Production of concentrated milk products"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210024701
